Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-03-24,86.22507698003588,86.22507698003588,85.69410612950594,85.94062805175781,26800,0.0,0.0,0.0
2022-03-25,85.79839643213916,86.0164748901431,85.10624852293645,85.71306610107422,14400,0.0,0.0,0.0
2022-03-28,85.59928086842618,85.7320217549787,85.07780088092291,85.61824798583984,20600,0.0,0.0,0.0
2022-03-29,86.60433024080858,86.99307661673252,86.10181008370616,86.66122436523438,16200,0.0,0.0,0.0
2022-03-30,86.8413736674908,87.18270949863037,85.96907420295054,86.08285522460938,17900,0.0,0.0,0.0
2022-03-31,85.84581236717749,85.97855326858848,84.34772821258305,84.6890640258789,12000,0.0,0.0,0.0
2022-04-01,85.1157391389223,85.1157391389223,84.14862572196394,84.6511459350586,5300,0.0,0.0,0.0
2022-04-04,84.5752872188482,84.9355901696104,84.19603161527927,84.78388214111328,13200,0.0,0.0,0.0
2022-04-05,85.37174372319892,85.37174372319892,84.03484378909846,84.24343872070312,13200,0.0,0.0,0.0
2022-04-06,83.61765027307172,83.61765027307172,82.66001331803834,83.03927612304688,62200,0.0,0.0,0.0
2022-04-07,83.25735535482494,83.56076418122466,82.69794826989674,83.24787902832031,14800,0.0,0.0,0.0
2022-04-08,83.20046274177676,84.32876762825931,82.93498094115417,84.06328582763672,12700,0.0,0.0,0.0
2022-04-11,84.07276579024774,84.99247580635767,83.95899200439453,83.95899200439453,10100,0.0,0.0,0.0
2022-04-12,84.24343606269066,84.97351830027173,83.71247242360408,83.89262390136719,17300,0.0,0.0,0.0
2022-04-13,84.4330666101011,85.53292083740234,84.4330666101011,85.53292083740234,20100,0.0,0.0,0.0
2022-04-14,85.53290747359988,85.99750056050165,85.10624138638087,85.694091796875,20800,0.0,0.0,0.0
2022-04-18,85.40018241031389,85.76996168342076,84.94506556365482,85.03040313720703,7200,0.0,0.0,0.0
2022-04-19,85.09677020618652,86.87929604754999,85.09677020618652,86.64225769042969,12800,0.0,0.0,0.0
2022-04-20,87.52404064668038,89.3919040577414,87.52404064668038,89.04109191894531,60000,0.0,0.0,0.0
2022-04-21,89.43932029934528,89.43932029934528,87.66627067180733,88.00760650634766,22800,0.0,0.0,0.0
2022-04-22,87.47664293575598,87.47664293575598,86.39574853681584,86.49056243896484,37100,0.0,0.0,0.0
2022-04-25,85.39069034576269,85.45706079243236,83.43749671476729,85.04935455322266,25100,0.0,0.0,0.0
2022-04-26,84.76491323113378,84.95454101273211,83.12460470834704,83.30475616455078,20700,0.0,0.0,0.0
2022-04-27,83.91158733964855,85.257963615079,83.91158733964855,84.6511459350586,16800,0.0,0.0,0.0
2022-04-28,84.62268410286012,85.70357831269399,83.71245778057032,85.61824798583984,30500,0.0,0.0,0.0
2022-04-29,86.57588434889873,87.08788805124243,85.21054837648519,85.41913604736328,47800,0.0,0.0,0.0
2022-05-02,84.96402735983852,85.37173361410534,83.36164578756068,84.30979919433594,24900,0.0,0.0,0.0
2022-05-03,84.85025456359206,86.1397439003852,84.83129467650855,85.81737518310547,10700,0.0,0.0,0.0
2022-05-04,85.53291915651025,87.96967315673828,85.50447571132197,87.96967315673828,23500,0.0,0.0,0.0
2022-05-05,87.33441648582843,87.33441648582843,84.47098896251514,85.24848175048828,30800,0.0,0.0,0.0
2022-05-06,84.59424371068,84.59424371068,83.08667611071166,83.99690246582031,20500,0.0,0.0,0.0
2022-05-09,82.49882887060613,83.14357346813898,81.56015180180633,81.73081970214844,30800,0.0,0.0,0.0
2022-05-10,82.53675898306663,82.67897621051121,80.6120014435566,81.21882629394531,21600,0.0,0.0,0.0
2022-05-11,81.45586080085269,82.11956527700772,80.14740449952384,80.45081329345703,18700,0.0,0.0,0.0
2022-05-12,79.64490077957149,80.23275860379277,78.44074891495943,79.3320083618164,30200,0.0,0.0,0.0
2022-05-13,79.86296529770841,81.07660051102911,79.73021716452976,80.60252380371094,13800,0.0,0.0,0.0
2022-05-16,80.4318493328702,81.35155922739166,79.95777266425797,80.78266143798828,7400,0.0,0.0,0.0
2022-05-17,82.58415436278432,83.97794092823527,82.4703805917832,83.61764526367188,16500,0.0,0.0,0.0
2022-05-18,82.84016681742571,82.97290771737113,80.59304061034437,80.81111907958984,12800,0.0,0.0,0.0
